ID,Name,Length (miles),Ascent (ft),Descent (ft),Dogs,Features,Ratings,Difficulty,State
7031469,thompson-creek-trail-206,3.4,441.0,419.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Spring', 'Swimming', 'Views', 'Wildflowers', 'Wildlife', 'Commonly Backpacked']","[5.0, 3]",Intermediate,AL
7005473,stone-cuts,0.8,169.0,121.0,Leashed,"['Cave', 'Wildflowers', 'Wildlife']","[5.0, 3]",Difficult,AL
7036990,rock-bottom-trail,3.5,241.0,247.0,Leashed,['-none-'],"[5.0, 1]",Intermediate/Difficult,AL
7027355,dallas-branch-trail,0.4,140.0,0.0,Unknown,['-none-'],"[5.0, 1]",Easy,AL
7028561,tuscaloosa-riverwalk,2.9,36.0,47.0,Leashed,"['River/Creek', 'Views']","[5.0, 1]",Easy,AL
7028562,tashka-trail,8.8,783.0,727.0,Leashed,"['Lake', 'Swimming', 'Views', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,AL
7036000,jekyll-n-hyde-trail,4.2,200.0,594.0,Unknown,['-none-'],"[5.0, 1]",Difficult,AL
7034787,bomb-dog,6.4,916.0,973.0,Unknown,['-none-'],"[5.0, 1]",Intermediate/Difficult,AL
7043916,creek-view-trail,1.4,111.0,69.0,Off-leash,"['River/Creek', 'Swimming', 'Wildlife']","[5.0, 1]",Intermediate,AL
7043917,ccc-trail,2.5,127.0,151.0,Off-leash,"['River/Creek', 'Wildlife']","[5.0, 1]",Intermediate,AL
7030466,east-side-trail,7.1,653.0,635.0,Unknown,"['River/Creek', 'Views']","[5.0, 1]",Easy/Intermediate,AL
7048305,lawson-branch-loop,1.9,245.0,246.0,Off-leash,"['Birding', 'Fall Colors', 'River/Creek', 'Spring', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate,AL
7026385,pig-iron-trail,3.6,226.0,209.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,AL
7039251,golf-course-loop,3.3,275.0,274.0,Unknown,['-none-'],"[5.0, 1]",Easy/Intermediate,AL
7030465,west-side-trail,5.5,293.0,290.0,Leashed,"['Lake', 'Views']","[5.0, 1]",Easy/Intermediate,AL
7028563,entrance-trail,0.5,8.0,64.0,Leashed,['River/Creek'],"[5.0, 1]",Intermediate,AL
7027230,dam-trail,1.9,119.0,124.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,AL
7037041,ridge-loop-trail,3.6,211.0,233.0,Unknown,['-none-'],"[5.0, 1]",Easy/Intermediate,AL
7041098,lakeside-trail,1.9,92.0,100.0,Unknown,['-none-'],"[5.0, 1]",Intermediate,AL
7027224,gristmill-trail,0.3,52.0,6.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildlife']","[5.0, 1]",Easy/Intermediate,AL
7014369,bird-ridge-trail,2.5,3257.0,0.0,Off-leash,"['Birding', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 8]",Intermediate/Difficult,AK
7013861,crow-pass-eagle-river-trail-iditarod-national-historic-trail,22.5,3213.0,4231.0,Leashed,"['Fall Colors', 'River/Creek', 'Waterfall', 'Wildlife', 'Commonly Backpacked']","[4.8, 11]",Intermediate/Difficult,AK
7011651,mt-alice-ridge-trial,2.9,3354.0,0.0,Off-leash,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 3]",Difficult,AK
7047194,backside-flattop-trail,1.7,1573.0,0.0,Off-leash,['Views'],"[5.0, 2]",Intermediate,AK
7022750,flattop-mountain-trail,0.8,895.0,3.0,Leashed,['Views'],"[5.0, 3]",Difficult,AK
7038607,south-raina-peak-trail,5.5,5373.0,133.0,Off-leash,"['Fall Colors', 'Wildflowers', 'Wildlife']","[5.0, 2]",Intermediate/Difficult,AK
